dr_no;date_rptd;date_occ;time_occ;area;area_name;rpt_dist_no;part_1_2;crm_cd;crm_cd_desc;mocodes;vict_age;vict_sex;vict_descent;premis_cd;premis_desc;weapon_used_cd;weapon_desc;status;status_desc;crm_cd_1;crm_cd_2;crm_cd_3;crm_cd_4;location;cross_street;lat;lon
200716526;11/29/2020 12:00:00 AM;11/29/2020 12:00:00 AM;1435;7;Wilshire;736;1;440;THEFT PLAIN - PETTY ($950 & UNDER);1822 0344 0394;28;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;440;;;;300 S  CLOVERDALE                   AV;;34.0686;-118.3462
201112555;08/16/2020 12:00:00 AM;05/12/2020 12:00:00 AM;1150;11;Northeast;1115;2;354;THEFT OF IDENTITY;1822;29;M;F;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;5000    HERMOSA                      AV;;34.1377;-118.2073
201006565;02/27/2020 12:00:00 AM;02/27/2020 12:00:00 AM;1700;10;West Valley;1061;2;237;CHILD NEGLECT (SEE 300 W.I.C.);0552 2002 1257 1258 0913 0602;4;F;H;122;VEHICLE, PASSENGER/TRUCK;;;AA;Adult Arrest;237;;;;19700    HENSHAW                      ST;;34.1698;-118.5625
200416179;12/22/2020 12:00:00 AM;12/21/2020 12:00:00 AM;2300;4;Hollenbeck;402;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;500    MONTECITO                    DR;;34.095;-118.2018
201212005;05/02/2020 12:00:00 AM;05/01/2020 12:00:00 AM;1630;12;77th Street;1273;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;101;STREET;;;IC;Invest Cont;420;;;;1700 W  MANCHESTER                   AV;;33.96;-118.3068
200706375;02/17/2020 12:00:00 AM;02/08/2020 12:00:00 AM;1200;7;Wilshire;735;1;440;THEFT PLAIN - PETTY ($950 & UNDER);1601 0344;33;M;W;120;STORAGE SHED;;;IC;Invest Cont;440;;;;5300 W  8TH                          ST;;34.0633;-118.3473
200712537;08/08/2020 12:00:00 AM;08/07/2020 12:00:00 AM;1900;7;Wilshire;758;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;1200    QUEEN ANNE                   PL;;34.0499;-118.332
200209359;04/24/2020 12:00:00 AM;04/24/2020 12:00:00 AM;1500;2;Rampart;202;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;2000 0913 1813 1814 0448;28;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;626;;;;4200    BURNS                        AV;;34.0877;-118.2845
201208749;03/09/2020 12:00:00 AM;03/08/2020 12:00:00 AM;1930;12;77th Street;1256;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;300 W  76TH                         ST;;33.9727;-118.285
200218284;12/06/2020 12:00:00 AM;12/06/2020 12:00:00 AM;1130;2;Rampart;246;1;440;THEFT PLAIN - PETTY ($950 & UNDER);1218 0344 0352 2032 1202;63;F;H;102;SIDEWALK;;;IC;Invest Cont;440;;;;600 S  ALVARADO                     ST;;34.0593;-118.275
200917718;11/26/2020 12:00:00 AM;11/18/2020 12:00:00 AM;1325;9;Van Nuys;933;1;440;THEFT PLAIN - PETTY ($950 & UNDER);344;45;M;W;707;GARAGE/CARPORT;;;AO;Adult Other;440;;;;14700    CALVERT                      ST;;34.1816;-118.4531
200414827;11/13/2020 12:00:00 AM;11/13/2020 12:00:00 AM;520;4;Hollenbeck;457;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;2700    CINCINNATI                   ST;;34.0453;-118.2019
200910138;05/26/2020 12:00:00 AM;05/26/2020 12:00:00 AM;30;9;Van Nuys;911;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0334 0411 1822 0416 0446 2033;24;M;B;102;SIDEWALK;200;KNIFE WITH BLADE 6INCHES OR LESS;IC;Invest Cont;230;;;;SEPULVEDA                    BL;VANOWEN                      ST;34.1939;-118.4662
200208234;03/26/2020 12:00:00 AM;03/25/2020 12:00:00 AM;1900;2;Rampart;245;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);0329 1307;22;F;H;122;VEHICLE, PASSENGER/TRUCK;;;IC;Invest Cont;740;;;;6TH                          ST;ALVARADO                     ST;34.0601;-118.2761
200105271;01/19/2020 12:00:00 AM;01/18/2020 12:00:00 AM;2354;1;Central;171;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER);0344 1822;0;M;W;102;SIDEWALK;;;IC;Invest Cont;442;;;;900 W  OLYMPIC                      BL;;34.0454;-118.2657
